"","x"
"1208",35975979
"1209",35973648
"1210",35972996
"1211",35972141
"1212",35968774
"1213",35967994
"1214",35967916
"1215",35964589
"1216",35964455
"1217",35962258
"1218",35962230
"1219",35962155
"1220",35961954
"1221",35961857
"1222",35961804
"1223",35961312
"1224",35961219
"1225",35960863
"1226",35958232
"1227",35957902
"1228",35957810
"1229",35956647
"1230",35956645
"1231",35956142
"1232",35956128
"1233",35952986
"1234",35951928
"1235",35951713
"1236",35951540
"1237",35951140
"1238",35950976
"1239",35950698
"1240",35947966
"1241",35946538
"1242",35946508
"1243",35946495
"1244",35946113
"1245",35946097
"1246",35946056
"1247",35945455
"1248",35945404
"1249",35945255
"1250",35945213
"1251",35945179
"1252",35945145
"1253",35939461
"1254",35938624
"1255",35938554
"1256",35937961
"1257",35936115
"1258",35931752
"1259",35931673
"1260",35931618
"1261",35931568
"1262",35931454
"1263",35931348
"1264",35931332
"1265",35931199
"1266",35930728
"1267",35930233
"1268",35927791
"1269",35921532
"1270",35921104
"1271",35920924
"1272",35920731
"1273",35919479
"1274",35917612
"1275",35913557
"1276",35913506
"1277",35913442
"1278",35907337
"1279",35902464
"1280",35902315
"1281",35895750
"1282",35893635
"1283",35886513
"1284",35886495
"1285",35884088
"1286",35876600
"1287",35858438
"1288",35858225
"1289",35858115
"1290",35856590
"1291",35843144
"1292",35836555
"1293",35810934
"1294",34764087
"1295",35955378
"1296",35955005
"1297",35954844
"1298",35954694
"1299",35954600
"1300",35953583
"1301",35953428
"1302",35953421
"1303",35952936
"1304",35952889
"1305",35952753
"1306",35952457
"1307",35952281
"1308",35951474
"1309",35950838
"1310",35950743
"1311",35950472
"1312",35949966
"1313",35949936
"1314",35949862
"1315",35949451
"1316",35949204
"1317",35949061
"1318",35948770
"1319",35948116
"1320",35948035
"1321",35947503
"1322",35947278
"1323",35947053
"1324",35946864
"1325",35946839
"1326",35946627
"1327",35945703
"1328",35729445
"1329",36017161
"1330",36015735
"1331",35964041
"1332",35963989
"1333",35963574
"1334",35963509
"1335",35963396
"1336",35962800
"1337",35962595
"1338",35961856
"1339",35961642
"1340",35961242
"1341",35961227
"1342",35961179
"1343",35960630
"1344",35960212
"1345",35958943
"1346",35958910
"1347",35958395
"1348",35958260
"1349",35958248
"1350",35958049
"1351",35955767
"1352",35955624
"1353",35955510
"1354",35955467
"1355",35955334
"1356",35955332
"1357",35992378
"1358",35971445
"1359",35970982
"1360",35970812
"1361",35970790
"1362",35970519
"1363",35970509
"1364",35969982
"1365",35969663
"1366",35969577
"1367",35969392
"1368",35968977
"1369",35968959
"1370",35968613
"1371",35967553
"1372",35967285
"1373",35966824
"1374",35966393
"1375",35966076
"1376",35965748
"1377",35965455
"1378",35965388
"1379",35965382
"1380",35965142
"1381",35965126
"1382",35964946
"1383",35964882
"1384",35964766
"1385",35964713
"1386",35964381
"1387",35948519
"1388",35980076
"1389",35979896
"1390",35979782
"1391",35979125
"1392",35978962
"1393",35978159
"1394",35977724
"1395",35977309
"1396",35976909
"1397",35976843
"1398",35975302
"1399",35975090
"1400",35974519
"1401",35974296
"1402",35974118
"1403",35972899
"1404",35972833
"1405",35972682
"1406",35986898
"1407",35986583
"1408",35985927
"1409",35985703
"1410",35985587
"1411",35985490
"1412",35984999
"1413",35984875
"1414",35984518
"1415",35984456
"1416",35984152
"1417",35984079
"1418",35983939
"1419",35983336
"1420",35983079
"1421",35983073
"1422",35983000
"1423",35982459
"1424",35981327
"1425",35980476
"1426",35969153
"1427",35967241
"1428",36016189
"1429",35892749
"1430",36001918
"1431",36001254
"1432",36000906
"1433",36000321
"1434",36000313
"1435",36000192
"1436",35999833
"1437",35999711
"1438",35999463
"1439",35999034
"1440",35998989
"1441",35998601
"1442",35998482
"1443",35998367
"1444",35997690
"1445",35997665
"1446",35997580
"1447",35997460
"1448",35997256
"1449",35997221
"1450",35997185
"1451",35997138
"1452",35997107
"1453",35996249
"1454",35995938
"1455",35995920
"1456",35995895
"1457",35995844
"1458",35995237
"1459",35994896
"1460",35992338
"1461",35992233
"1462",35991895
"1463",36008497
"1464",36008437
"1465",36008414
"1466",36007678
"1467",36007337
"1468",36007335
"1469",36006865
"1470",36006846
"1471",36006602
"1472",36006196
"1473",36005757
"1474",36005362
"1475",36005019
"1476",36004755
"1477",36004679
"1478",36004064
"1479",36003968
"1480",36003845
"1481",36003778
"1482",36003723
"1483",36003665
"1484",36003127
"1485",36002858
"1486",36002810
"1487",36002808
"1488",36002706
"1489",36002689
"1490",36002593
"1491",36002578
"1492",36002454
"1493",36002414
"1494",36002228
"1495",36002086
"1496",36002085
"1497",36000691
"1498",36017625
"1499",36016996
"1500",36016910
"1501",36016587
"1502",36016331
"1503",36016270
"1504",36016111
"1505",36015915
"1506",36015845
"1507",36015379
"1508",36014625
"1509",36014613
"1510",36014599
"1511",36014241
"1512",36014231
"1513",36013635
"1514",36013500
"1515",36013383
"1516",36013260
"1517",36013189
"1518",36013102
"1519",36013039
"1520",36013017
"1521",36012799
"1522",36012712
"1523",36012512
"1524",36012484
"1525",36012463
"1526",36012393
"1527",36012300
"1528",36012270
"1529",36012236
"1530",36011698
"1531",36010697
"1532",36010613
"1533",35965764
"1534",36021500
"1535",36020425
"1536",36020421
"1537",36019641
"1538",36019522
"1539",36018820
"1540",36018758
"1541",36018736
"1542",35931345
"1543",35687764
"1544",35822233
