"","회사명","공고제목","즐겨찾기 수","조회수","경력","학력","나이/성별","급여","근무형태","직급/직책","근무일시","근무지역","시작일","마감일","우대사항","지원금/보험","급여제도","선물","교육/생활","근무 환경","출퇴근","리프레시","조직문화","홈페이지접속","필수사항","자사양식다운수"
"11","주식회사 디케이테크인","[카카오자회사] Front-end Developer 정규직 채용(근무지:판교)","57","822","무관(신입포함)","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","경기 성남시 분당구지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유도점자블록, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"12","주식회사 디케이테크인","기술지원실 Developer Relations 개발자 채용","3","211","경력 5년 이상","학력무관","무관","회사내규에 따름","정규직 수습기간 3개월","팀원","주 5일(월~금) 오전 10시~오후 7시","경기 성남시 분당구, 제주 제주시지도","2019.04.01 14:00","2019.04.14 23:59",NA,"건강검진, 무료진료지정병원, 선택적복리후생","퇴직연금, 인센티브제, 퇴직금, 야근수당, 휴일(특근)수당, 연차수당, 직책수당, 4대 보험","명절선물/귀향비","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서...","수유실, 휴게실, 수면실, 회의실, 공기청정기, 카페테리아, 유도점자블록, 노트북","차량유류비지급, 통근버스 운행, 야간교통비지급","연차, 여름휴가, 경조휴가제, 반차, Refresh휴가, 휴가비지원, 산전 후 휴가, 육아휴직...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"13","유닉스전자㈜","총무 담당자 모집","98","1,197","무관(신입포함)","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직","주임, 사원","주 5일(월~금) 오전 8시 30분 ~ 오후 6시 30분","서울 용산구지도","2019.04.01 14:00","2019.05.01 23:59","활동/경험 해당직무 근무경험","각종 경조사 지원","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,"저녁식사 제공, 사내동호회 운영",NA,"기숙사 운영, 통근버스 운행",NA,NA,NA,NA,NA
"14","㈜한샘","한샘 2019 생활용품관 신입 채용(정규직)","233","5,815","신입","학력무관","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 수원시, 경기전체, 성남시, 성남시 분당구, 하남시, 대구전체, 대구 달서구, 북구","2019.04.02 00:00","2019.04.14 23:59","근무조건 인근거주자",NA,NA,NA,NA,NA,NA,NA,NA,"258",NA,NA
"15","㈜한경희생활과학","공사관리 부문 경력 인원 모집 공고","5","164","경력 6~9년","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직, 프리랜서정규직 수습기간 3개월","대리, 과장","주 5일(월~금) 오전 8시 30분~오후 5시 30분","서울 금천구지도","2019.04.01 14:00","2019.05.01 23:59","자격증실내건축기능사, 건설기술자(초급), 건설기술자(중급)활동/경험 해당직무 근무경험기타건축/건설 관련 자격증 보유자",NA,"퇴직연금, 휴일(특근)수당, 4대 보험","창립일선물지급","사우회(경조사회), 음료제공(차, 커피)","회의실, 문턱 없음, 자회사 제품할인",NA,"연차, 경조휴가제, 근로자의 날 휴무",NA,NA,NA,NA
"16","(주)인터파크","[인터파크] 2019년 4월 부문별 정기 채용(경력)","265","4,454","신입·경력(년수무관)","학력무관","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","서울 강남구지도","2019.04.01 14:00","2019.04.30 23:59",NA,"건강검진, 의료비지원(본인), 각종 경조사 지원, 단체 상해보험, 의료비지원(가족), ...","퇴직연금, 인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 스톡옵션, 퇴직금,...","명절선물/귀향비, 창립일선물지급, 생일선물/파티, 결혼기념일선물","창립일행사, 워크샵, 신입사원교육(OJT), 직무능력향상교육, 외국어 교육 지원, 자기...","수유실, 휴게실, 회의실, 공기청정기, 카페테리아, 장애인 화장실, 노트북, 사원증, ...","야간교통비지급","연차, 경조휴가제, 포상휴가, 산전 후 휴가, 육아휴직, 보건휴가, 휴양시설 제공","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"17","㈜게임빌","[게임빌] 모바일게임 시스템엔지니어(테크PM) 모집","15","456","경력 1년 이상","학력무관","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","서울 서초구지도","2019.04.01 00:00","2019.04.14 23:59",NA,"건강검진, 의료비지원(본인), 직원대출제도, 각종 경조사 지원, 단체 상해보험, 의...","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 4대 보험","명절선물/귀향비, 생일선물/파티","워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상교육, 리더쉽강화교육, 도서구...","휴게실, 회의실, 공기청정기, 카페테리아, 게임기, 전용 사옥, 사원증, 콘도/리조트 ...","주택자금 융자, 야간교통비지급","연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 휴가비지원, 포상휴가, 산전...","수평적 조직문화, 회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"18","㈜엠씨넥스","(주)엠씨넥스 주식IR / 홍보 담당 경력직 채용","3","193","경력(년수무관)","학력무관","무관","회사내규에 따름","정규직","대리","주 5일(월~금) 오전 9시~오후 6시","서울 금천구지도","2019.04.01 14:00","2019.04.30 23:59","자격/능력 컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자근무조건 인근거주자","건강검진, 각종 경조사 지원","장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,"구내식당(사원식당), 점심식사 제공",NA,"기숙사 운영",NA,NA,NA,"전<U+00A0><U+00A0><U+00A0>공경영학, 회계학, 상경계열",NA
"19","팅크웨어㈜","팅크웨어(아이나비) 글로벌마케팅 경력 모집","2","139","경력 10년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 오전 9시~오후 6시","경기 성남시 분당구지도","2019.04.01 15:00","2019.04.15 23:59","기본국가유공자, 보훈대상자, 장애인우대, 취업보호대상자활동/경험 해당직무 근무경험자격/능력 컴퓨터활용능력 우수, 문서작성 우수자, 엑셀 고급능력자","건강검진, 직원대출제도, 각종 경조사 지원","퇴직연금, 인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 장기근속수당, 4대 보험",NA,"워크샵, 리더쉽강화교육, 도서구입비지원, 외국어 교육 지원, 사내동호회 운영, 사...","회의실, 카페테리아, 자회사 제품할인, 콘도/리조트 이용권",NA,"연차, Refresh휴가, 창립일휴무, 근로자의 날 휴무, 산전 후 휴가, 육아휴직, 남성출산...",NA,NA,NA,NA
"20","태광실업㈜","19년 태광실업 각 부문 경력사원 모집","75","4,970","경력 3년 이상","대졸(4년제) 이상","무관","회사내규에 따름","정규직 수습기간 3개월",NA,"주 5일(월~금) 오전 8시 ~ 오후 5시","경남 김해시","2019.04.01 00:00","2019.04.14 23:59",NA,"건강검진, 각종 경조사 지원, 자녀학자금","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 4대 보험",NA,"구내식당(사원식당), 사내동호회 운영",NA,"차량유류비지급, 통근버스 운행",NA,NA,NA,NA,NA
"21","(주)퍼시스","[(주)퍼시스] 사무직/제품설계 경력무관 채용 공고","29","870","무관(신입포함)","학력무관(예정자 가능)","무관","2,400~2,600만원","정규직 수습기간 3개월","사원 / 팀원","주 5일(월~금) 오전 8시 30분~오후 5시 30분","충북 충주시지도","2019.04.01 15:00","2019.04.16 23:59","기본국가유공자, 보훈대상자자격/능력 컴퓨터활용능력 우수, CAD/CAM 능숙자근무조건 인근거주자","건강검진, 직원대출제도, 각종 경조사 지원, 자녀학자금","인센티브제, 상여금, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 4대 보험","생일선물/파티","창립일행사, 워크샵, 신입사원교육(OJT), 사이버연수원운영, 구내식당(사원식당), 사...","휴게실, 회의실, 전용 사옥, 사내 정원, 문턱 없음, 사원증, 콘도/리조트 이용권, 사...","기숙사 운영, 통근버스 운행, 주택자금 융자","연차, 산전 후 휴가, 육아휴직","회식강요 안함, 야근강요 안함, 자유복장",NA,NA,NA
"22","씨에스윈드(주)","씨에스윈드(주) 자금담당 경력직원 채용","20","432","경력 3년 이하","대졸(4년제) 이상","무관","면접후 결정","정규직 수습기간 3개월","사원 / 팀원","주 5일(월~금) 오전 9시~오후 6시","충남 천안시 서북구지도","2019.04.01 15:00","2019.05.01 23:59","외국어TOEIC 800급(점) 이상, IELTS 6.5급(점) 이상, OPIC IM급(점) 이상외국어 능력 영어능통자활동/경험 해당직무 근무경험자격/능력 컴퓨터활용능력 우수, 문서작성 우수자근무조건 지방근무 가능자기타직무(재무, 회계) 관련 자격증 소지자","건강검진, 의료비지원(본인), 각종 경조사 지원, 헬스비 지급, 자녀학자금","인센티브제, 장기근속자 포상, 우수사원포상, 퇴직금, 연차수당, 4대 보험","명절선물/귀향비, 창립일선물지급, 생일선물/파티","창립일행사, 우수사원시상식, 워크샵, 플레이샵, 신입사원교육(OJT), 직무능력향상...","휴게실, 회의실, 노트북, 사원증, 사무용품 지급","차량유류비지급, 탄력근무제","연차, 경조휴가제, 반차, Refresh휴가, 근로자의 날 휴무, 휴가비지원, 포상휴가, 휴양...","회식강요 안함, 야근강요 안함",NA,"전<U+00A0><U+00A0><U+00A0>공경영학, 회계학",NA
"23","메가존㈜","광고에이전시 펜타클 퍼포먼스 AE 채용","19","587","경력 3년 이상","학력무관","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","서울 강남구, 서울전체","2019.04.01 00:00","2019.04.30 23:59","전공광고홍보학외국어 능력 영어가능자활동/경험 해당직무 근무경험근무조건 운전가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CJ푸드빌㈜","[CJ푸드빌/투썸플레이스(주)] 글로벌 R&D 신입사원 모집","111","5,593","신입","대졸(2,3년제) 이상","무관","회사내규에 따름","정규직",NA,"주 5일(월~금) ","서울 중구, 서울전체","2019.04.01 00:00","2019.04.14 18:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,"162",NA,NA
"25","삼륭물산㈜","삼륭물산㈜ / SR테크노팩㈜ 2019년 상반기 채용공고","930","22,676","신입·경력","대졸(4년제) 이상","무관","회사내규에 따름","정규직","면접후 결정",NA,"경기 부천시, 안산시, 서울전체, 충남 천안시","2019.04.01 00:00","2019.04.14 23:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","구찌코리아(유)","2019 Gucci Korea 신입 및 경력 채용","508","11,844","신입·경력","학력무관","무관","회사내규에 따름","정규직","면접후 결정",NA,"인천 중구, 서울전체, 서울 서초구, 중구, 경기 김포시, 여주시, 부산전체, 부산 해운대구, 제주전체, 전국","2019.04.01 00:00","2019.04.30 23:59","기본보훈대상자, 장애인우대외국어 능력 영어가능자, 중국어 가능자",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
